prénom,nom,senateur
Alain,Journet,http://www.wikidata.org/entity/Q2636454
Louis,Mermaz,http://www.wikidata.org/entity/Q976492
Louis,Jung,http://www.wikidata.org/entity/Q1871784
Louis,Philibert,http://www.wikidata.org/entity/Q1871919
Louis,Minetti,http://www.wikidata.org/entity/Q2401155
Charles,Lederman,http://www.wikidata.org/entity/Q1065308
Jean-Claude,Leroy,http://www.wikidata.org/entity/Q2393437
Jean-Claude,Leroy,http://www.wikidata.org/entity/Q2393437
Jean-Claude,Leroy,http://www.wikidata.org/entity/Q2393437
Jean-Claude,Leroy,http://www.wikidata.org/entity/Q2393437
Jean-Marie,Louvel,http://www.wikidata.org/entity/Q950719
Jean-Marie,Bockel,http://www.wikidata.org/entity/Q981661
Jean-Marie,Girault,http://www.wikidata.org/entity/Q1685043
Alfred,Gerin,http://www.wikidata.org/entity/Q2396975
Roger,Karoutchi,http://www.wikidata.org/entity/Q1059511
Paul,Vergès,http://www.wikidata.org/entity/Q935962
Paul,Souffrin,http://www.wikidata.org/entity/Q1634402
Paul,Natali,http://www.wikidata.org/entity/Q2424263
Marcel,Rainaud,http://www.wikidata.org/entity/Q1893168
Marcel,Rudloff,http://www.wikidata.org/entity/Q1893177
Marcel,Cavaillé,http://www.wikidata.org/entity/Q2385347
Marcel,Daunay,http://www.wikidata.org/entity/Q2411493
Robert,Hue,http://www.wikidata.org/entity/Q937091
Robert,Schwint,http://www.wikidata.org/entity/Q1632013
Jean-Pierre,Bel,http://www.wikidata.org/entity/Q1393994
Jean-Pierre,Fourcade,http://www.wikidata.org/entity/Q1685206
Jean-Pierre,Plancade,http://www.wikidata.org/entity/Q2396150
André,François-Poncet,http://www.wikidata.org/entity/Q1394814
André,Monteil,http://www.wikidata.org/entity/Q2111463
André,Trillard,http://www.wikidata.org/entity/Q2410939
Jean,Filippi,http://www.wikidata.org/entity/Q971593
Jean,Filippi,http://www.wikidata.org/entity/Q971593
Jean,Filippi,http://www.wikidata.org/entity/Q971593
Jean,François-Poncet,http://www.wikidata.org/entity/Q1394814
Jean,Berthoin,http://www.wikidata.org/entity/Q1469157
Edmond,Michelet,http://www.wikidata.org/entity/Q871444
Suzanne,Schreiber,http://www.wikidata.org/entity/Q2370182
Suzanne,Crémieux,http://www.wikidata.org/entity/Q2370182
Serge,Bloch,http://www.wikidata.org/entity/Q981270
Serge,Dassault,http://www.wikidata.org/entity/Q981270
Émile,Vivier,http://www.wikidata.org/entity/Q2372650
Gérard,Longuet,http://www.wikidata.org/entity/Q1360173
Hubert,Haenel,http://www.wikidata.org/entity/Q1439604
Michel,Giraud,http://www.wikidata.org/entity/Q919918
Michel,Caillard d'Aillières,http://www.wikidata.org/entity/Q1521083
Nicole,Bonnefoy,http://www.wikidata.org/entity/Q962910
Francisque,Collomb,http://www.wikidata.org/entity/Q800007
Philippe,Adnot,http://www.wikidata.org/entity/Q2155506
Georges,Marrane,http://www.wikidata.org/entity/Q1097717
Georges,Spénale,http://www.wikidata.org/entity/Q1228890
Georges,Benedetti,http://www.wikidata.org/entity/Q1508800
Georges,Benedetti,http://www.wikidata.org/entity/Q1508800
Georges,Lombard,http://www.wikidata.org/entity/Q1508990
Georges,Martin,http://www.wikidata.org/entity/Q1509018
Georges,Guille,http://www.wikidata.org/entity/Q2265163
Colette,Guibal,http://www.wikidata.org/entity/Q2396093
Colette,Giudicelli,http://www.wikidata.org/entity/Q2396093
Jean-Paul,Fournier,http://www.wikidata.org/entity/Q1685137
Jean-Paul,Alduy,http://www.wikidata.org/entity/Q2020016
Félix,Ciccolini,http://www.wikidata.org/entity/Q1479452
Christian,Bourquin,http://www.wikidata.org/entity/Q930590
Christian,Bergelin,http://www.wikidata.org/entity/Q2363445
Christian,Masson,http://www.wikidata.org/entity/Q2389333
Thierry,Carcenac,http://www.wikidata.org/entity/Q2420908
Valérie,Létard,http://www.wikidata.org/entity/Q2321787
Bastien,Leccia,http://www.wikidata.org/entity/Q810647
Edgard,Pisani,http://www.wikidata.org/entity/Q1284283
Josselin,de Rohan,http://www.wikidata.org/entity/Q2441800
Jacqueline,Chevé,http://www.wikidata.org/entity/Q520004
Dominique,Voynet,http://www.wikidata.org/entity/Q268669
Marie,Vermeersch,http://www.wikidata.org/entity/Q768360
Jacques,Duclos,http://www.wikidata.org/entity/Q377790
Roland,Ries,http://www.wikidata.org/entity/Q469010
Guy,Fischer,http://www.wikidata.org/entity/Q12949
François,Mitterrand,http://www.wikidata.org/entity/Q2038
François,Fillon,http://www.wikidata.org/entity/Q101410
François,Rebsamen,http://www.wikidata.org/entity/Q383499
François,Baroin,http://www.wikidata.org/entity/Q736013
Françoise,Laurent-Perrigot,http://www.wikidata.org/entity/Q509530
Fabienne,Keller,http://www.wikidata.org/entity/Q440151
Maurice,Schumann,http://www.wikidata.org/entity/Q282882
Maurice,Couve de Murville,http://www.wikidata.org/entity/Q312034
Maurice,Antiste,http://www.wikidata.org/entity/Q601481
Henri,Lafleur,http://www.wikidata.org/entity/Q603660
Jean-Luc,Mélenchon,http://www.wikidata.org/entity/Q5829
Jeannette,Vermeersch,http://www.wikidata.org/entity/Q768360
Nelly,Olin,http://www.wikidata.org/entity/Q272848
Yves,Guéna,http://www.wikidata.org/entity/Q342878
Pierre,Mélenchon,http://www.wikidata.org/entity/Q5829
Pierre,Mauroy,http://www.wikidata.org/entity/Q156511
Pierre,Laffitte,http://www.wikidata.org/entity/Q679585
Raymond,Poincaré,http://www.wikidata.org/entity/Q191974
Raymond,Bourgine,http://www.wikidata.org/entity/Q548579
Joël,Bourdin,http://www.wikidata.org/entity/Q670849
René,Coty,http://www.wikidata.org/entity/Q158768
Edgar,Faure,http://www.wikidata.org/entity/Q327013
Edgar,Tailhades,http://www.wikidata.org/entity/Q665118
Alain,Poher,http://www.wikidata.org/entity/Q12950
Alain,Milon,http://www.wikidata.org/entity/Q388399
Alain,Lambert,http://www.wikidata.org/entity/Q429805
Louis,Le Pensec,http://www.wikidata.org/entity/Q497610
Charles,Pasqua,http://www.wikidata.org/entity/Q725609
Christiane,Demontès,http://www.wikidata.org/entity/Q12945
Christiane,Boccard,http://www.wikidata.org/entity/Q644244
Christiane,Kammermann,http://www.wikidata.org/entity/Q644244
Jean-Claude,Gaudin,http://www.wikidata.org/entity/Q670918
Jean-Claude,Gaudin,http://www.wikidata.org/entity/Q670918
Jean-Marie,Morisset,http://www.wikidata.org/entity/Q662414
Bertrand,Delanoë,http://www.wikidata.org/entity/Q256294
Chantal,Jouanno,http://www.wikidata.org/entity/Q524546
Roger,Carcassonne,http://www.wikidata.org/entity/Q116081
Paul,Girod,http://www.wikidata.org/entity/Q422171
Robert,Vigouroux,http://www.wikidata.org/entity/Q115615
Robert,Navarro,http://www.wikidata.org/entity/Q285345
Robert,Galley,http://www.wikidata.org/entity/Q345888
Camille,Vallin,http://www.wikidata.org/entity/Q508608
Camille,Vallin,http://www.wikidata.org/entity/Q508608
Isabelle,Debré,http://www.wikidata.org/entity/Q523632
Jean-Pierre,Raffarin,http://www.wikidata.org/entity/Q63263
Jean-Pierre,Tizon,http://www.wikidata.org/entity/Q241994
Jean-Pierre,Chevènement,http://www.wikidata.org/entity/Q736502
Jean-Pierre,Vial,http://www.wikidata.org/entity/Q743188
André,Bettencourt,http://www.wikidata.org/entity/Q517072
André,Duroméa,http://www.wikidata.org/entity/Q518421
André,Labarrère,http://www.wikidata.org/entity/Q520375
André,Reichardt,http://www.wikidata.org/entity/Q522471
André,Rouvière,http://www.wikidata.org/entity/Q522609
Jean,Francou,http://www.wikidata.org/entity/Q116092
Jean,Lecanuet,http://www.wikidata.org/entity/Q537864
Edmond,Hervé,http://www.wikidata.org/entity/Q329044
