Matricule,Id appartenance,Id fonction occupée,Nom,Prénom,Code du groupe politique,Nom court du groupe politique,Date de début d'appartenance,Date de fin d'appartenance,Nom court fonction,Date de début de la fonction,Date de fin de la fonction
01058X,753,749,Sido,Bruno,UMP,Groupe Les Républicains,2002-12-11 00:00:00.0,,Membre,2002-12-11 00:00:00.0,
04101V,1804,2082,Siffre,Jacques,NI,Réunion administrative des non-inscrits,2004-12-24 00:00:00.0,2005-01-17 00:00:00.0,Membre,2004-12-24 00:00:00.0,2005-01-17 00:00:00.0
04101V,1805,2083,Siffre,Jacques,SOC,"Groupe Socialiste, Écologiste et Républicain",2005-01-18 00:00:00.0,2008-09-30 00:00:00.0,Membre,2005-01-18 00:00:00.0,2008-09-30 00:00:00.0
86053H,166,166,Signé,René-Pierre,SOC,"Groupe Socialiste, Écologiste et Républicain",,2011-09-30 00:00:00.0,Membre,,2011-09-30 00:00:00.0
000373,1372,1632,Simonin,Jean,RPR,Groupe du RPR,,1993-11-06 00:00:00.0,Membre,,1993-11-06 00:00:00.0
000716,1552,1812,Sinsout,Charles,GD,Gauche Démocratique,,1971-10-01 00:00:00.0,Membre,,1971-10-01 00:00:00.0
000364,1373,1633,Sirgue,Albert,UREI,Union des Républicains et des Indépendants,,1980-11-18 00:00:00.0,Membre,,1980-11-18 00:00:00.0
04069P,1703,1965,Sittler,Esther,AUCUN,Sénateurs n'appartenant à aucun groupe,2004-10-01 00:00:00.0,2004-10-04 00:00:00.0,Membre,2004-10-01 00:00:00.0,2004-10-04 00:00:00.0
04069P,1772,2036,Sittler,Esther,UMP,Groupe Les Républicains,2004-10-05 00:00:00.0,2004-11-26 00:00:00.0,Membre,2004-10-05 00:00:00.0,2004-11-26 00:00:00.0
04069P,1810,2088,Sittler,Esther,NI,Réunion administrative des non-inscrits,2005-02-21 00:00:00.0,2005-02-22 00:00:00.0,Membre,2005-02-21 00:00:00.0,2005-02-22 00:00:00.0
