Matricule,Id appartenance,Id fonction occupée,Nom,Prénom,Code du groupe politique,Nom court du groupe politique,Date de début d'appartenance,Date de fin d'appartenance,Nom court fonction,Date de début de la fonction,Date de fin de la fonction
000722,1481,1741,Cardot,Marie-Hélène,UC,Groupe Union Centriste,,1971-10-01 00:00:00.0,Membre,,1971-10-01 00:00:00.0
11103C,2198,2472,Cardoux,Jean-Noël,UMP,Groupe Les Républicains,2011-10-01 00:00:00.0,,Membre,2011-10-01 00:00:00.0,
95015C,778,774,Carle,Jean-Claude,UMP,Groupe Les Républicains,2002-12-11 00:00:00.0,2018-08-06 00:00:00.0,Membre,2002-12-11 00:00:00.0,2018-08-06 00:00:00.0
95015C,235,235,Carle,Jean-Claude,RI,Groupe des RI,,2002-12-10 00:00:00.0,Membre,,2002-12-10 00:00:00.0
12028B,3145,3560,Carlotti,Marie-Arlette,AUCUN,Sénateurs n'appartenant à aucun groupe,2020-10-01 00:00:00.0,2020-10-04 00:00:00.0,Membre,2020-10-01 00:00:00.0,2020-10-04 00:00:00.0
12028B,3215,3630,Carlotti,Marie-Arlette,SOC,"Groupe Socialiste, Écologiste et Républicain",2020-10-05 00:00:00.0,,Membre,2020-10-05 00:00:00.0,
59526S,960,1220,Caron,Paul,UC,Groupe Union Centriste,,1995-10-01 00:00:00.0,Membre,,1995-10-01 00:00:00.0
000326,961,1221,Carous,Pierre,RPR,Groupe du RPR,,1990-01-14 00:00:00.0,Membre,,1990-01-14 00:00:00.0
92015P,117,117,Carrère,Jean-Louis,SOC,"Groupe Socialiste, Écologiste et Républicain",1992-10-02 00:00:00.0,2017-10-01 00:00:00.0,Membre,1992-10-02 00:00:00.0,2017-10-01 00:00:00.0
19629C,2745,3138,Carrère,Maryse,AUCUN,Sénateurs n'appartenant à aucun groupe,2017-10-02 00:00:00.0,2017-10-02 00:00:00.0,Membre,2017-10-02 00:00:00.0,2017-10-02 00:00:00.0
19629C,2897,3294,Carrère,Maryse,RDSE,Groupe du RDSE,2017-10-03 00:00:00.0,,Membre,2017-10-03 00:00:00.0,
000003,962,1222,Carrier,Maurice,UNR,Union pour la Nouvelle République,,1968-10-01 00:00:00.0,Membre,,1968-10-01 00:00:00.0
59569E,836,835,Cartigny,Ernest,RDSE,Groupe du RDSE,2002-12-11 00:00:00.0,2004-09-30 00:00:00.0,Membre,2002-12-11 00:00:00.0,2004-09-30 00:00:00.0
08024S,1908,2192,Cartron,Françoise,SOC,"Groupe Socialiste, Écologiste et Républicain",2008-10-01 00:00:00.0,2018-07-17 00:00:00.0,Membre,2008-10-01 00:00:00.0,2011-11-01 00:00:00.0
08024S,1908,2638,Cartron,Françoise,SOC,"Groupe Socialiste, Écologiste et Républicain",2008-10-01 00:00:00.0,2018-07-17 00:00:00.0,Vice-Président délégué,2011-11-02 00:00:00.0,2014-10-06 00:00:00.0
08024S,1908,2934,Cartron,Françoise,SOC,"Groupe Socialiste, Écologiste et Républicain",2008-10-01 00:00:00.0,2018-07-17 00:00:00.0,Membre,2014-10-07 00:00:00.0,2018-07-17 00:00:00.0
08024S,3011,3421,Cartron,Françoise,LREM,"Groupe Rassemblement des démocrates, progressistes et indépendants",2018-07-18 00:00:00.0,2020-09-30 00:00:00.0,Membre,2018-07-18 00:00:00.0,2020-09-30 00:00:00.0
11032E,2294,2568,Carvounas,Luc,SOC,"Groupe Socialiste, Écologiste et Républicain",2011-10-01 00:00:00.0,2017-07-28 00:00:00.0,Membre,2011-10-01 00:00:00.0,2011-11-01 00:00:00.0
11032E,2294,2642,Carvounas,Luc,SOC,"Groupe Socialiste, Écologiste et Républicain",2011-10-01 00:00:00.0,2017-07-28 00:00:00.0,Vice-Président,2011-11-02 00:00:00.0,2014-10-06 00:00:00.0
11032E,2294,2939,Carvounas,Luc,SOC,"Groupe Socialiste, Écologiste et Républicain",2011-10-01 00:00:00.0,2017-07-28 00:00:00.0,Membre,2014-10-07 00:00:00.0,2017-07-28 00:00:00.0
89008Q,84,84,Castaing,Robert,SOC,"Groupe Socialiste, Écologiste et Républicain",,1998-09-30 00:00:00.0,Membre,,1998-09-30 00:00:00.0
14201E,2508,2826,Castelli,Joseph,AUCUN,Sénateurs n'appartenant à aucun groupe,2014-10-01 00:00:00.0,2014-10-06 00:00:00.0,Membre,2014-10-01 00:00:00.0,2014-10-06 00:00:00.0
14201E,2617,2968,Castelli,Joseph,RDSE,Groupe du RDSE,2014-10-07 00:00:00.0,2020-09-30 00:00:00.0,Membre,2014-10-07 00:00:00.0,2020-09-30 00:00:00.0
58936D,963,1223,Castex,Marc,UREI,Union des Républicains et des Indépendants,,1989-10-01 00:00:00.0,Membre,,1989-10-01 00:00:00.0
000350,964,1224,Cathala,Charles,NI,Réunion administrative des non-inscrits,,1977-10-02 00:00:00.0,Membre,,1977-10-02 00:00:00.0
59570W,965,1225,De Catuelan,Louis,UC,Groupe Union Centriste,,1995-10-01 00:00:00.0,Membre,,1995-10-01 00:00:00.0
000327,966,1226,Cauchon,Jean,UC,Groupe Union Centriste,,1989-10-01 00:00:00.0,Membre,,1989-10-01 00:00:00.0
000510,967,1227,Caupert,Joseph,RI,Groupe des RI,,1994-09-09 00:00:00.0,Membre,,1994-09-09 00:00:00.0
58202U,968,1228,Cavaillé,Marcel,RI,Groupe des RI,,1974-07-09 00:00:00.0,Membre,,1974-07-09 00:00:00.0
92046W,78,78,Cavalier-Benezet,Francis,SOC,"Groupe Socialiste, Écologiste et Républicain",,1998-09-30 00:00:00.0,Membre,,1998-09-30 00:00:00.0
11044J,2246,2520,Cayeux,Caroline,UMP,Groupe Les Républicains,2011-10-01 00:00:00.0,2017-10-01 00:00:00.0,Membre,2011-10-01 00:00:00.0,2017-10-01 00:00:00.0
59601L,969,1229,Cayrel,Raymond,RI,Groupe des RI,,1995-11-09 00:00:00.0,Membre,,1995-11-09 00:00:00.0
19721W,2850,3244,Cazabonne,Alain,AUCUN,Sénateurs n'appartenant à aucun groupe,2017-10-01 00:00:00.0,2017-10-02 00:00:00.0,Membre,2017-10-01 00:00:00.0,2017-10-02 00:00:00.0
19721W,2967,3372,Cazabonne,Alain,UC,Groupe Union Centriste,2017-10-03 00:00:00.0,,Membre,2017-10-03 00:00:00.0,
83021L,694,690,Cazalet,Auguste,UMP,Groupe Les Républicains,2002-12-11 00:00:00.0,2011-09-30 00:00:00.0,Membre,2002-12-11 00:00:00.0,2011-09-30 00:00:00.0
83021L,204,204,Cazalet,Auguste,RPR,Groupe du RPR,,2002-12-10 00:00:00.0,Membre,,2002-12-10 00:00:00.0
98029W,346,349,Cazeau,Bernard,SOC,"Groupe Socialiste, Écologiste et Républicain",1998-10-01 00:00:00.0,2017-06-27 00:00:00.0,Membre,1998-10-01 00:00:00.0,2017-06-27 00:00:00.0
98029W,2696,3078,Cazeau,Bernard,LREM,"Groupe Rassemblement des démocrates, progressistes et indépendants",2017-06-28 00:00:00.0,2020-09-30 00:00:00.0,Membre,2017-06-28 00:00:00.0,2020-09-30 00:00:00.0
19057M,3289,3705,Cazebonne,Samantha,LREM,"Groupe Rassemblement des démocrates, progressistes et indépendants",2021-10-01 00:00:00.0,,Membre,2021-10-01 00:00:00.0,
58657Y,970,1230,Ceccaldi-Pavard,Pierre,UC,Groupe Union Centriste,,1986-10-01 00:00:00.0,Membre,,1986-10-01 00:00:00.0
95016D,678,674,Ceccaldi-Raynaud,Charles,UMP,Groupe Les Républicains,2002-12-11 00:00:00.0,2004-09-30 00:00:00.0,Membre,2002-12-11 00:00:00.0,2004-09-30 00:00:00.0
95016D,97,97,Ceccaldi-Raynaud,Charles,RPR,Groupe du RPR,,2002-12-10 00:00:00.0,Membre,,2002-12-10 00:00:00.0
92008Q,313,313,Cerisier-ben Guiga,Monique,SOC,"Groupe Socialiste, Écologiste et Républicain",,2011-09-30 00:00:00.0,Membre,,2011-09-30 00:00:00.0
90003B,379,386,César,Gérard,RPR,Groupe du RPR,1998-10-05 00:00:00.0,2002-12-10 00:00:00.0,Membre,1998-10-05 00:00:00.0,2002-12-10 00:00:00.0
90003B,728,724,César,Gérard,UMP,Groupe Les Républicains,2002-12-11 00:00:00.0,2017-09-30 00:00:00.0,Membre,2002-12-11 00:00:00.0,2017-09-30 00:00:00.0
90003B,87,87,César,Gérard,RPR,Groupe du RPR,,1998-10-04 00:00:00.0,Membre,,1998-10-04 00:00:00.0
000257,1602,1862,Chabaraka,Ahmed,GD,Gauche Démocratique,,1962-07-04 00:00:00.0,Membre,,1962-07-04 00:00:00.0
95017E,218,218,Chabroux,Gilbert,SOC,"Groupe Socialiste, Écologiste et Républicain",,2004-09-30 00:00:00.0,Membre,,2004-09-30 00:00:00.0
14329V,2657,3018,Chain-Larché,Anne,UMP,Groupe Les Républicains,2015-10-12 00:00:00.0,,Membre,2015-10-12 00:00:00.0,
14038Y,2475,2793,Chaize,Patrick,AUCUN,Sénateurs n'appartenant à aucun groupe,2014-10-01 00:00:00.0,2014-10-06 00:00:00.0,Membre,2014-10-01 00:00:00.0,2014-10-06 00:00:00.0
14038Y,2550,2882,Chaize,Patrick,UMP,Groupe Les Républicains,2014-10-07 00:00:00.0,,Membre,2014-10-07 00:00:00.0,
59571X,971,1231,Chamant,Jean,RPR,Groupe du RPR,,1995-10-01 00:00:00.0,Membre,,1995-10-01 00:00:00.0
000111,972,1232,Chambaretaud,Léon,NI,Réunion administrative des non-inscrits,,1974-08-26 00:00:00.0,Membre,,1974-08-26 00:00:00.0
83022M,1433,1693,Chambriard,Jean-Paul,RI,Groupe des RI,,1996-01-24 00:00:00.0,Membre,,1996-01-24 00:00:00.0
000061,973,1233,Champeix,Marcel,SOC,"Groupe Socialiste, Écologiste et Républicain",,1980-10-01 00:00:00.0,Membre,,1980-10-01 00:00:00.0
000038,974,1234,Champleboux,Michel,SOC,"Groupe Socialiste, Écologiste et Républicain",,1967-03-08 00:00:00.0,Membre,,1967-03-08 00:00:00.0
20264J,3285,3701,Chantrel,Yan,SOC,"Groupe Socialiste, Écologiste et Républicain",2021-10-01 00:00:00.0,,Membre,2021-10-01 00:00:00.0,
81015E,1887,2170,Charasse,Michel,RDSE,Groupe du RDSE,2008-06-04 00:00:00.0,2010-03-06 00:00:00.0,Membre,2008-06-04 00:00:00.0,2010-03-06 00:00:00.0
81015E,203,203,Charasse,Michel,SOC,"Groupe Socialiste, Écologiste et Républicain",,2008-06-03 00:00:00.0,Membre,,2008-06-03 00:00:00.0
92016Q,165,165,Charmant,Marcel,SOC,"Groupe Socialiste, Écologiste et Républicain",,2001-09-30 00:00:00.0,Membre,,2001-09-30 00:00:00.0
11080N,2293,2567,Charon,Pierre,UMP,Groupe Les Républicains,2011-10-01 00:00:00.0,,Membre,2011-10-01 00:00:00.0,
000191,975,1235,Charpentier,Maurice,RI,Groupe des RI,,1965-08-19 00:00:00.0,Membre,,1965-08-19 00:00:00.0
000572,1434,1694,Charretier,Maurice,UREI,Union des Républicains et des Indépendants,,1987-09-30 00:00:00.0,Membre,,1987-09-30 00:00:00.0
95018F,194,194,Charzat,Michel,SOC,"Groupe Socialiste, Écologiste et Républicain",,2000-01-27 00:00:00.0,Membre,,2000-01-27 00:00:00.0
14195A,2439,2757,Chasseing,Daniel,AUCUN,Sénateurs n'appartenant à aucun groupe,2014-10-01 00:00:00.0,2014-10-06 00:00:00.0,Membre,2014-10-01 00:00:00.0,2014-10-06 00:00:00.0
14195A,2564,2896,Chasseing,Daniel,UMP,Groupe Les Républicains,2014-10-07 00:00:00.0,2017-10-02 00:00:00.0,Membre,2014-10-07 00:00:00.0,2017-10-02 00:00:00.0
14195A,2869,3264,Chasseing,Daniel,RTLI,Groupe Les Indépendants - République et Territoires,2017-10-03 00:00:00.0,,Membre,2017-10-03 00:00:00.0,
08057C,1987,2258,Chastan,Yves,SOC,"Groupe Socialiste, Écologiste et Républicain",2008-10-01 00:00:00.0,2014-09-30 00:00:00.0,Membre,2008-10-01 00:00:00.0,2014-09-30 00:00:00.0
000439,976,1236,Chatelain,Fernand,C,Communistes,,1979-06-11 00:00:00.0,Membre,,1979-06-11 00:00:00.0
08028W,1928,2207,Chatillon,Alain,UMP,Groupe Les Républicains,2008-10-01 00:00:00.0,,Membre,2008-10-01 00:00:00.0,2011-10-30 00:00:00.0
08028W,1928,2646,Chatillon,Alain,UMP,Groupe Les Républicains,2008-10-01 00:00:00.0,,Vice-Président,2011-11-01 00:00:00.0,2014-10-06 00:00:00.0
08028W,1928,2858,Chatillon,Alain,UMP,Groupe Les Républicains,2008-10-01 00:00:00.0,,Membre,2014-10-07 00:00:00.0,
19920C,3068,3483,Chaudun,Christophe,NI,Réunion administrative des non-inscrits,2020-06-25 00:00:00.0,2020-06-25 00:00:00.0,Membre,2020-06-25 00:00:00.0,2020-06-25 00:00:00.0
77012W,702,698,Chaumont,Jacques,UMP,Groupe Les Républicains,2002-12-11 00:00:00.0,2004-09-30 00:00:00.0,Membre,2002-12-11 00:00:00.0,2004-09-30 00:00:00.0
77012W,230,230,Chaumont,Jacques,RPR,Groupe du RPR,,2002-12-10 00:00:00.0,Membre,,2002-12-10 00:00:00.0
59221C,977,1237,Chauty,Michel,RPR,Groupe du RPR,,1992-10-01 00:00:00.0,Membre,,1992-10-01 00:00:00.0
04099V,1802,2080,Chauveau,Jean-Pierre,UMP,Groupe Les Républicains,2004-11-02 00:00:00.0,2005-06-27 00:00:00.0,Membre,2004-11-02 00:00:00.0,2005-06-27 00:00:00.0
04099V,1851,2131,Chauveau,Jean-Pierre,NI,Réunion administrative des non-inscrits,2007-06-18 00:00:00.0,2007-06-19 00:00:00.0,Membre,2007-06-18 00:00:00.0,2007-06-19 00:00:00.0
04099V,1854,2134,Chauveau,Jean-Pierre,UMP,Groupe Les Républicains,2007-06-19 00:00:00.0,2014-09-30 00:00:00.0,Membre,2007-06-19 00:00:00.0,2014-09-30 00:00:00.0
20144B,3163,3578,Chauvet,Patrick,AUCUN,Sénateurs n'appartenant à aucun groupe,2020-10-01 00:00:00.0,2020-10-04 00:00:00.0,Membre,2020-10-01 00:00:00.0,2020-10-04 00:00:00.0
20144B,3254,3669,Chauvet,Patrick,UC,Groupe Union Centriste,2020-10-05 00:00:00.0,,Membre,2020-10-05 00:00:00.0,
000272,978,1238,Chauvin,Adolphe,UC,Groupe Union Centriste,,1986-10-01 00:00:00.0,Membre,,1986-10-01 00:00:00.0
19467C,2837,3231,Chauvin,Marie-Christine,AUCUN,Sénateurs n'appartenant à aucun groupe,2017-10-02 00:00:00.0,2017-10-02 00:00:00.0,Membre,2017-10-02 00:00:00.0,2017-10-02 00:00:00.0
19467C,2934,3335,Chauvin,Marie-Christine,UMP,Groupe Les Républicains,2017-10-03 00:00:00.0,,Membre,2017-10-03 00:00:00.0,
000222,979,1239,Chavanac,Albert,UDR,Union des Démocrates pour la République,,1972-09-14 00:00:00.0,Membre,,1972-09-14 00:00:00.0
58113U,980,1240,Chazalon,André,RP,Républicains Populaires,,1962-12-13 00:00:00.0,Membre,,1962-12-13 00:00:00.0
58349P,981,1241,Chazelle,René,SOC,"Groupe Socialiste, Écologiste et Républicain",,1983-10-02 00:00:00.0,Membre,,1983-10-02 00:00:00.0
77013X,693,689,Chérioux,Jean,UMP,Groupe Les Républicains,2002-12-11 00:00:00.0,2004-09-30 00:00:00.0,Membre,2002-12-11 00:00:00.0,2004-09-30 00:00:00.0
77013X,193,193,Chérioux,Jean,RPR,Groupe du RPR,,2002-12-10 00:00:00.0,Membre,,2002-12-10 00:00:00.0
58419L,982,1242,Cherrier,Lionel,UREI,Union des Républicains et des Indépendants,,1983-10-02 00:00:00.0,Membre,,1983-10-02 00:00:00.0
81010Y,55,55,Chervy,William,SOC,"Groupe Socialiste, Écologiste et Républicain",,1998-09-30 00:00:00.0,Membre,,1998-09-30 00:00:00.0
000723,1482,1742,Chevalier,Robert,UNR,Union pour la Nouvelle République,,1968-10-01 00:00:00.0,Membre,,1968-10-01 00:00:00.0
000715,1483,1743,Chevallier,Paul,GD,Gauche Démocratique,,1968-10-01 00:00:00.0,Membre,,1968-10-01 00:00:00.0
08013P,1895,2179,Chevé,Jacqueline,SOC,"Groupe Socialiste, Écologiste et Républicain",2008-10-01 00:00:00.0,2010-03-15 00:00:00.0,Membre,2008-10-01 00:00:00.0,2010-03-15 00:00:00.0
02053W,1958,2233,Chevènement,Jean-Pierre,RDSE,Groupe du RDSE,2008-10-01 00:00:00.0,2014-09-30 00:00:00.0,Membre,2008-10-01 00:00:00.0,2014-09-30 00:00:00.0
57434F,983,1243,De Chevigny,Pierre,RI,Groupe des RI,,1974-10-01 00:00:00.0,Membre,,1974-10-01 00:00:00.0
18083K,2820,3214,Chevrollier,Guillaume,AUCUN,Sénateurs n'appartenant à aucun groupe,2017-10-02 00:00:00.0,2017-10-02 00:00:00.0,Membre,2017-10-02 00:00:00.0,2017-10-02 00:00:00.0
18083K,2935,3336,Chevrollier,Guillaume,UMP,Groupe Les Républicains,2017-10-03 00:00:00.0,,Membre,2017-10-03 00:00:00.0,
59527T,984,1244,Chinaud,Roger,RI,Groupe des RI,,1995-10-01 00:00:00.0,Membre,,1995-10-01 00:00:00.0
11042G,2133,2411,Chiron,Jacques,SOC,"Groupe Socialiste, Écologiste et Républicain",2011-10-01 00:00:00.0,2017-10-01 00:00:00.0,Membre,2011-10-01 00:00:00.0,2017-10-01 00:00:00.0
000195,985,1245,Chochoy,Bernard,SOC,"Groupe Socialiste, Écologiste et Républicain",,1981-04-23 00:00:00.0,Membre,,1981-04-23 00:00:00.0
59222D,986,1246,Chupin,Auguste,UC,Groupe Union Centriste,,1992-10-01 00:00:00.0,Membre,,1992-10-01 00:00:00.0
58923X,987,1247,Ciccolini,Félix,SOC,"Groupe Socialiste, Écologiste et Républicain",,1989-10-01 00:00:00.0,Membre,,1989-10-01 00:00:00.0
19701S,2812,3206,de Cidrac,Marta,AUCUN,Sénateurs n'appartenant à aucun groupe,2017-10-02 00:00:00.0,2017-10-02 00:00:00.0,Membre,2017-10-02 00:00:00.0,2017-10-02 00:00:00.0
19701S,2936,3337,de Cidrac,Marta,UMP,Groupe Les Républicains,2017-10-03 00:00:00.0,,Membre,2017-10-03 00:00:00.0,
14267Y,2630,2981,Cigolotti,Olivier,NI,Réunion administrative des non-inscrits,2015-01-26 00:00:00.0,2015-01-26 00:00:00.0,Membre,2015-01-26 00:00:00.0,2015-01-26 00:00:00.0
14267Y,2631,2982,Cigolotti,Olivier,UC,Groupe Union Centriste,2015-01-27 00:00:00.0,,Membre,2015-01-27 00:00:00.0,
56819Q,988,1248,Claireaux,Henri,RP,Républicains Populaires,,1968-10-01 00:00:00.0,Membre,,1968-10-01 00:00:00.0
11023D,2131,2409,Claireaux,Karine,SOC,"Groupe Socialiste, Écologiste et Républicain",2011-10-01 00:00:00.0,2017-07-13 00:00:00.0,Membre,2011-10-01 00:00:00.0,2017-07-13 00:00:00.0
11023D,2732,3125,Claireaux,Karine,LREM,"Groupe Rassemblement des démocrates, progressistes et indépendants",2017-07-14 00:00:00.0,2017-10-01 00:00:00.0,Membre,2017-07-14 00:00:00.0,2017-10-01 00:00:00.0
000060,989,1249,Claparede,Emile,GD,Gauche Démocratique,,1967-08-03 00:00:00.0,Membre,,1967-08-03 00:00:00.0
04016A,1641,1906,Claudel,Gérard,NI,Réunion administrative des non-inscrits,2004-05-01 00:00:00.0,2004-05-04 00:00:00.0,Membre,2004-05-01 00:00:00.0,2004-05-04 00:00:00.0
04016A,1646,1911,Claudel,Gérard,UMP,Groupe Les Républicains,2004-05-05 00:00:00.0,2004-09-30 00:00:00.0,Membre,2004-05-05 00:00:00.0,2004-09-30 00:00:00.0
95019G,777,773,Cléach,Marcel-Pierre,UMP,Groupe Les Républicains,2002-12-11 00:00:00.0,2014-09-30 00:00:00.0,Membre,2002-12-11 00:00:00.0,2014-09-30 00:00:00.0
95019G,232,232,Cléach,Marcel-Pierre,RI,Groupe des RI,,2002-12-10 00:00:00.0,Membre,,2002-12-10 00:00:00.0
000726,1484,1744,Clerc,Jean,RP,Républicains Populaires,,1966-03-09 00:00:00.0,Membre,,1966-03-09 00:00:00.0
86018E,781,777,Clouet,Jean,UMP,Groupe Les Républicains,2002-12-11 00:00:00.0,2004-09-30 00:00:00.0,Membre,2002-12-11 00:00:00.0,2004-09-30 00:00:00.0
86018E,267,267,Clouet,Jean,RI,Groupe des RI,,2002-12-10 00:00:00.0,Membre,,2002-12-10 00:00:00.0
71009B,6,6,Cluzel,Jean,UC,Groupe Union Centriste,,1998-09-30 00:00:00.0,Membre,,1998-09-30 00:00:00.0
000058,1435,1695,Cogniot,Georges,C,Communistes,,1977-10-02 00:00:00.0,Membre,,1977-10-02 00:00:00.0
11031D,2295,2569,Cohen,Laurence,CRC,Groupe CRCE,2011-10-01 00:00:00.0,,Membre,2011-10-01 00:00:00.0,
01063U,638,635,Cointat,Christian,RPR,Groupe du RPR,2001-10-10 00:00:00.0,2002-12-10 00:00:00.0,Membre,2001-10-10 00:00:00.0,2002-12-10 00:00:00.0
01063U,755,751,Cointat,Christian,UMP,Groupe Les Républicains,2002-12-11 00:00:00.0,2014-09-29 00:00:00.0,Membre,2002-12-11 00:00:00.0,2014-09-29 00:00:00.0
000235,990,1250,Colin,André,UCDP,Union Centriste des Démocrates de Progrès,,1978-08-29 00:00:00.0,Membre,,1978-08-29 00:00:00.0
58805S,991,1251,Colin,Jean,UC,Groupe Union Centriste,,1988-05-13 00:00:00.0,Membre,,1988-05-13 00:00:00.0
81014D,70,70,Collard,Henri,RDSE,Groupe du RDSE,,1998-09-30 00:00:00.0,Membre,,1998-09-30 00:00:00.0
000494,992,1252,Collery,Jean,UCDP,Union Centriste des Démocrates de Progrès,,1976-03-18 00:00:00.0,Membre,,1976-03-18 00:00:00.0
000501,993,1253,Collet,François,RPR,Groupe du RPR,,1994-09-27 00:00:00.0,Membre,,1994-09-27 00:00:00.0
59223E,994,1254,Collette,Henri,RPR,Groupe du RPR,,1992-10-01 00:00:00.0,Membre,,1992-10-01 00:00:00.0
88008L,262,2348,Collin,Yvon,RDSE,Groupe du RDSE,,2020-09-30 00:00:00.0,Président,2008-10-02 00:00:00.0,2011-10-03 00:00:00.0
88008L,262,2591,Collin,Yvon,RDSE,Groupe du RDSE,,2020-09-30 00:00:00.0,Membre,2011-10-04 00:00:00.0,2020-09-30 00:00:00.0
88008L,262,262,Collin,Yvon,RDSE,Groupe du RDSE,,2020-09-30 00:00:00.0,Membre,,2008-10-01 00:00:00.0
59528U,1568,1828,Collomb,Francisque,UC,Groupe Union Centriste,,1995-10-01 00:00:00.0,Membre,,1995-10-01 00:00:00.0
99002P,419,436,Collomb,Gérard,SOC,"Groupe Socialiste, Écologiste et Républicain",1999-11-02 00:00:00.0,2017-06-17 00:00:00.0,Membre,1999-11-02 00:00:00.0,2017-06-17 00:00:00.0
99002P,3024,3430,Collomb,Gérard,NI,Réunion administrative des non-inscrits,2018-11-04 00:00:00.0,2018-12-05 00:00:00.0,Membre,2018-11-04 00:00:00.0,2018-12-05 00:00:00.0
04038G,2361,2682,Collombat,Pierre-Yves,AUCUN,Sénateurs n'appartenant à aucun groupe,2004-10-01 00:00:00.0,2004-10-04 00:00:00.0,Membre,2004-10-01 00:00:00.0,2004-10-04 00:00:00.0
04038G,1662,1926,Collombat,Pierre-Yves,SOC,"Groupe Socialiste, Écologiste et Républicain",2004-10-05 00:00:00.0,2011-10-26 00:00:00.0,Membre,2004-10-05 00:00:00.0,2011-10-26 00:00:00.0
04038G,2335,2624,Collombat,Pierre-Yves,RDSE,Groupe du RDSE,2011-10-27 00:00:00.0,2017-10-02 00:00:00.0,Membre,2011-10-27 00:00:00.0,2017-10-02 00:00:00.0
04038G,2861,3256,Collombat,Pierre-Yves,CRC,Groupe CRCE,2017-10-03 00:00:00.0,2020-09-30 00:00:00.0,Membre,2017-10-03 00:00:00.0,2020-09-30 00:00:00.0
14209N,2459,2777,Commeinhes,François,AUCUN,Sénateurs n'appartenant à aucun groupe,2014-10-01 00:00:00.0,2014-10-06 00:00:00.0,Membre,2014-10-01 00:00:00.0,2014-10-06 00:00:00.0
14209N,2533,2865,Commeinhes,François,UMP,Groupe Les Républicains,2014-10-07 00:00:00.0,2017-09-30 00:00:00.0,Membre,2014-10-07 00:00:00.0,2017-09-30 00:00:00.0
19295A,2846,3240,Conconne,Catherine,AUCUN,Sénateurs n'appartenant à aucun groupe,2017-10-02 00:00:00.0,2017-10-02 00:00:00.0,Membre,2017-10-02 00:00:00.0,2017-10-02 00:00:00.0
19295A,2901,3298,Conconne,Catherine,SOC,"Groupe Socialiste, Écologiste et Républicain",2017-10-03 00:00:00.0,,Membre,2017-10-03 00:00:00.0,
000196,995,1255,Constant,Georges,GD,Gauche Démocratique,,1983-10-02 00:00:00.0,Membre,,1983-10-02 00:00:00.0
19812Y,3052,3463,Constant,Agnès,NI,Réunion administrative des non-inscrits,2019-07-01 00:00:00.0,2019-07-03 00:00:00.0,Membre,2019-07-01 00:00:00.0,2019-07-03 00:00:00.0
19812Y,3053,3464,Constant,Agnès,LREM,"Groupe Rassemblement des démocrates, progressistes et indépendants",2019-07-04 00:00:00.0,2020-09-30 00:00:00.0,Membre,2019-07-04 00:00:00.0,2020-09-30 00:00:00.0
11027H,2228,2502,Conway-Mouret,Hélène,SOC,"Groupe Socialiste, Écologiste et Républicain",2011-10-01 00:00:00.0,2012-07-21 00:00:00.0,Membre,2011-10-01 00:00:00.0,2012-07-21 00:00:00.0
11027H,2421,2738,Conway-Mouret,Hélène,SOC,"Groupe Socialiste, Écologiste et Républicain",2014-05-05 00:00:00.0,,Membre,2014-05-05 00:00:00.0,
57710G,996,1256,Coppenrath,Gérald,UNR,Union pour la Nouvelle République,,1962-10-01 00:00:00.0,Membre,,1962-10-01 00:00:00.0
01035Q,542,541,Coquelle,Yves,AUCUN,Sénateurs n'appartenant à aucun groupe,2001-10-01 00:00:00.0,2001-10-01 00:00:00.0,Membre,2001-10-01 00:00:00.0,2001-10-01 00:00:00.0
01035Q,580,579,Coquelle,Yves,CRC,Groupe CRCE,2001-10-02 00:00:00.0,2007-01-01 00:00:00.0,Membre,2001-10-02 00:00:00.0,2007-01-01 00:00:00.0
19681G,2781,3175,Corbisez,Jean-Pierre,AUCUN,Sénateurs n'appartenant à aucun groupe,2017-10-02 00:00:00.0,2017-10-02 00:00:00.0,Membre,2017-10-02 00:00:00.0,2017-10-02 00:00:00.0
19681G,2880,3276,Corbisez,Jean-Pierre,RDSE,Groupe du RDSE,2017-10-03 00:00:00.0,,Membre,2017-10-03 00:00:00.0,
89011K,997,1257,Cornac,Claude,SOC,"Groupe Socialiste, Écologiste et Républicain",,1996-01-12 00:00:00.0,Membre,,1996-01-12 00:00:00.0
11114F,2213,2487,Cornano,Jacques,SOC,"Groupe Socialiste, Écologiste et Républicain",2011-10-01 00:00:00.0,2017-06-27 00:00:00.0,Membre,2011-10-01 00:00:00.0,2015-06-10 00:00:00.0
11114F,2213,2999,Cornano,Jacques,SOC,"Groupe Socialiste, Écologiste et Républicain",2011-10-01 00:00:00.0,2017-06-27 00:00:00.0,Membre,2015-06-11 00:00:00.0,2017-06-27 00:00:00.0
11114F,2697,3079,Cornano,Jacques,LREM,"Groupe Rassemblement des démocrates, progressistes et indépendants",2017-06-28 00:00:00.0,2017-10-01 00:00:00.0,Membre,2017-06-28 00:00:00.0,2017-10-01 00:00:00.0
000073,998,1258,Cornat,Henri,RI,Groupe des RI,,1968-06-16 00:00:00.0,Membre,,1968-06-16 00:00:00.0
000763,1485,1745,Cornu,André,GD,Gauche Démocratique,,1971-10-01 00:00:00.0,Membre,,1971-10-01 00:00:00.0
